Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average oxygen saturation (%),Max oxygen saturation (%),Min oxygen saturation (%),Average supplemental oxygen flow rate (L/min),Max supplemental oxygen flow rate (L/min),Min supplemental oxygen flow rate (L/min),Oxygen therapy administration mode,Oxygen saturation system,Oxygen saturation measurement method,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Tennis duration (ms),Weight lifting duration (ms),Other duration (ms)
2020-09-29,37,1682.2324925438738,2492.4369419813156,20.0,20,,,,,,,,,,,,,,,,,0.5858246798385098,1.4565188884735107,0.2958429157733917,3652,78.0999984741211,78.0999984741211,78.0999984741211,,83900897,486536,,,,,
2020-09-30,26,1707.2583569296203,1582.2934157848358,9.0,7,,,,,,,,,,,,,,,,,0.7477750729210694,1.9656808376312256,0.24351608753204346,2516,78.0,78.0,78.0,,83915551,867516,,,,,
2020-10-01,28,1680.5190572918636,1560.2847452163696,9.0,9,,,,,,,,,,,,,,,,,0.6797112668771563,1.4848862886428833,0.27576708793640137,2483,76.05000305175781,76.05000305175781,76.05000305175781,,85144113,624212,,,,,
2020-10-02,34,1736.2256700698115,2393.9219439029694,18.0,18,,,,,,,,,,,,,,,,,0.7380669246808512,8.255688667297363,0.2520143389701843,3542,76.44999694824219,76.44999694824219,76.44999694824219,,84413553,1653113,,,,,
2020-10-03,29,1718.9641347187614,1804.5181127786636,12.0,12,,,,,,,,,,,,,,,,,0.8063647438158797,3.5325543880462646,0.2816988229751587,2690,76.5,76.5,76.5,,82235215,1329809,,,,,
2020-10-04,10,1635.4038438264402,640.5529146194458,2.0,2,,,,,,,,,,,,,,,,,0.70516201560886,1.5191631317138672,0.2520143389701843,1157,76.0,76.0,76.0,,86400000,,,,,,
2020-10-05,24,1632.3192170084062,1598.2640504837036,14.0,14,,,,,,,,,,,,,,,,,1.3274369039587708,5.772658348083496,0.27392861247062683,2390,76.0999984741211,76.0999984741211,76.0999984741211,,86400000,,,,,,
2020-10-06,45,1766.8200871471236,2377.357597589493,11.0,7,,,,,,,,,,,,,,,,,1.2137266440189207,4.9008870124816895,0.2500527501106262,3706,,,,,83076678,2074270,,,,,
2020-10-07,85,1884.3116528579267,6012.569967150688,54.0,54,,,,,,,,,,,,,,,,,0.8122886308288534,2.0763678550720215,0.26026472449302673,8375,,,,,78599145,4091205,,,,,
2020-10-08,130,2099.071161243411,8126.956804394722,61.0,61,,,,,,,,,,,,,,,,,0.9020175463339241,2.0168280601501465,0.25199979543685913,11760,76.4000015258789,76.4000015258789,76.4000015258789,,69572532,7526095,,,,,
2020-10-09,125,2038.0245474019432,7942.668415784836,53.0,53,,,,,,,,,,,,,,,,,1.0773033852215188,8.78817081451416,0.25152841210365295,11736,,,,,73180579,6514818,,,,,
2020-10-10,111,1913.1277502399623,6852.475284695625,44.0,44,,,,,,,,,,,,,,,,,1.3571764208114325,17.642898559570312,0.2520143389701843,10031,75.6500015258789,75.6500015258789,75.6500015258789,,71707963,4613916,,,,,
2020-10-11,10,1659.6713169956313,639.6201412677765,3.0,3,,,,,,,,,,,,,,,,,0.9369779744837099,1.8451120853424072,0.2848857641220093,1073,76.1500015258789,76.1500015258789,76.1500015258789,,84573030,457252,,,,,
2020-10-12,8,1681.2691420378853,493.33868765830994,2.0,2,,,,,,,,,,,,,,,,,0.9566179007470067,3.9676871299743652,0.26476791501045227,778,76.6500015258789,76.6500015258789,76.6500015258789,,82753913,724095,,,,,
2020-10-13,10,1638.4999492796048,786.2076869010925,6.0,6,,,,,,,,,,,,,,,,,0.5641832178075544,1.5286710262298584,0.27392861247062683,1310,,,,,85622484,,,,,,
2020-10-14,98,1855.9193671670353,6306.010640859604,47.0,45,,,,,,,,,,,,,,,,,0.7571270147093941,1.9862487316131592,0.25937652587890625,9024,76.75,76.75,76.75,,77219596,3492474,,,,,
2020-10-15,44,1789.455668364491,2447.012687444687,30.0,30,,,,,,,,,,,,,,,,,0.8377231659087709,1.5263845920562744,0.2589219808578491,3587,,,,600000,78291245,1775914,,,,,
2020-10-16,66,1821.803820750014,4797.806146144867,39.0,39,,,,,,,,,,,,,,,,,0.7602789798697901,2.0311148166656494,0.2520143389701843,6779,,,,,82268505,2938576,,,,,
2020-10-17,4,1644.7388974524922,125.03612446784973,,,,,,,,,,,,,,,,,,,0.8287224281420873,5.161735534667969,0.5093833804130554,381,76.30000305175781,76.30000305175781,76.30000305175781,,81750932,122861,,,,,
2020-10-18,,1634.9999565781975,26.566080570220947,,,,,,,,,,,,,,,,,,,1.0813501956415905,2.3690006732940674,0.5791752338409424,165,,,,,86310738,,,,,,
